pokedex_number,pokemon_name,type_1,type_2,shape,height,weight,bmi,hit_points,attack,defense,special_attack,special_defense,speed,total_stats,mean,standard_deviation,capture_rate,generation,base_happiness,base_experience,exp_type,exp_to_level_100,can_evolve,evolves_from,final_evolution,mega_evolution,is_default,baby_pokemon,alolan_form,galarian_form,forms_switchable,legendary,mythical,genderless,female_rate,genus,egg_group_1,egg_group_2,egg_cycles,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fighting,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
455,Carnivine,Grass,,Tentacles,1.4,27.0,13.8,74,100,72,90,72,46,454,75.67,16.87,200,4,70,159,Slow,1250000,False,,True,False,True,False,False,False,False,False,False,False,0.5,Bug Catcher ,Grass,,25,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
456,Finneon,Water,,Fish,0.4,7.0,43.8,49,49,56,49,61,66,330,55.0,6.66,190,4,70,66,Erratic,600000,True,,False,False,True,False,False,False,False,False,False,False,0.5,Wing Fish ,Water 2,,20,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
457,Lumineon,Water,,Fish,1.2,24.0,16.7,69,69,76,69,86,91,460,76.67,8.84,75,4,70,161,Erratic,600000,False,Finneon,True,False,True,False,False,False,False,False,False,False,0.5,Neon ,Water 2,,20,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
458,Mantyke,Water,Flying,Wings,1.0,65.0,65.0,45,20,50,60,120,50,345,57.5,30.52,25,4,70,69,Slow,1250000,True,,False,False,True,True,False,False,False,False,False,False,0.5,Kite ,Undiscovered,,25,1.0,0.5,0.5,4.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0
459,Snover,Grass,Ice,Upright,1.0,50.5,50.5,60,62,50,62,60,40,334,55.67,8.12,120,4,70,67,Slow,1250000,True,,False,False,True,False,False,False,False,False,False,False,0.5,Frost Tree ,Monster,Grass,20,1.0,4.0,0.5,0.5,0.5,1.0,2.0,2.0,0.5,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0
460,Abomasnow,Grass,Ice,Upright,2.2,135.5,28.0,90,92,75,92,85,60,494,82.33,11.59,60,4,70,173,Slow,1250000,False,Snover,True,False,True,False,False,False,True,False,False,False,0.5,Frost Tree ,Monster,Grass,20,1.0,4.0,0.5,0.5,0.5,1.0,2.0,2.0,0.5,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0
460,Mega Abomasnow,Grass,Ice,Upright,2.7,185.0,25.4,90,132,105,132,105,30,594,99.0,34.38,60,6,70,208,Slow,1250000,False,Snover,True,True,False,False,False,False,True,False,False,False,0.5,Frost Tree ,Monster,Grass,20,1.0,4.0,0.5,0.5,0.5,1.0,2.0,2.0,0.5,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0
461,Weavile,Dark,Ice,Upright,1.1,34.0,28.1,70,120,65,45,85,125,510,85.0,29.01,45,4,35,179,Medium Slow,1059860,False,Sneasel,True,False,True,False,False,False,False,False,False,False,0.5,Sharp Claw ,Field,,20,1.0,2.0,1.0,1.0,1.0,0.5,4.0,1.0,1.0,1.0,0.0,2.0,2.0,0.5,1.0,0.5,2.0,2.0
462,Magnezone,Electric,Steel,Arms,1.2,180.0,125.0,70,70,115,130,90,60,535,89.17,25.56,30,4,70,241,Medium Fast,1000000,False,Magneton,True,False,True,False,False,False,False,False,False,True,0.0,Magnet Area ,Mineral,,20,0.5,2.0,1.0,0.5,0.5,0.5,2.0,0.0,4.0,0.25,0.5,0.5,0.5,1.0,0.5,1.0,0.25,0.5
463,Lickilicky,Normal,,Humanoid,1.7,140.0,48.4,110,85,95,80,95,50,515,85.83,18.58,30,4,70,180,Medium Fast,1000000,False,Lickitung,True,False,True,False,False,False,False,False,False,False,0.5,Licking ,Monster,,20,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
464,Rhyperior,Ground,Rock,Upright,2.4,282.8,49.1,115,140,130,55,55,40,535,89.17,40.15,30,4,70,241,Slow,1250000,False,Rhydon,True,False,True,False,False,False,False,False,False,False,0.5,Drill ,Monster,Field,20,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
465,Tangrowth,Grass,,Humanoid,2.0,128.6,32.2,100,100,125,110,50,50,535,89.17,28.93,30,4,70,187,Medium Fast,1000000,False,Tangela,True,False,True,False,False,False,False,False,False,False,0.5,Vine ,Grass,,20,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
466,Electivire,Electric,,Upright,1.8,138.6,42.8,75,123,67,95,85,95,540,90.0,17.88,30,4,70,243,Medium Fast,1000000,False,Electabuzz,True,False,True,False,False,False,False,False,False,False,0.25,Thunderbolt ,Human-Like,,25,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
467,Magmortar,Fire,,Upright,1.6,68.0,26.6,75,95,67,125,95,83,540,90.0,18.61,30,4,70,243,Medium Fast,1000000,False,Magmar,True,False,True,False,False,False,False,False,False,False,0.25,Blast ,Human-Like,,25,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
468,Togekiss,Fairy,Flying,Wings,1.5,38.0,16.9,85,50,95,120,115,80,545,90.83,23.35,30,4,70,245,Fast,800000,False,Togetic,True,False,True,False,False,False,False,False,False,False,0.125,Jubilee ,Flying,Fairy,10,1.0,1.0,1.0,2.0,0.5,2.0,0.25,2.0,0.0,1.0,1.0,0.25,2.0,1.0,0.0,0.5,2.0,1.0
469,Yanmega,Bug,Flying,Bug-Wings,1.9,51.5,14.3,86,76,86,116,56,95,515,85.83,18.17,30,4,70,180,Medium Fast,1000000,False,Yanma,True,False,True,False,False,False,False,False,False,False,0.5,Ogre Darner ,Bug,,20,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0
470,Leafeon,Grass,,Quadruped,1.0,25.5,25.5,65,110,130,60,65,95,525,87.5,26.26,45,4,35,184,Medium Fast,1000000,False,Eevee,True,False,True,False,False,False,False,False,False,False,0.125,Verdant ,Field,,35,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
471,Glaceon,Ice,,Quadruped,0.8,25.9,40.5,65,60,110,130,95,65,525,87.5,26.26,45,4,35,184,Medium Fast,1000000,False,Eevee,True,False,True,False,False,False,False,False,False,False,0.125,Fresh Snow ,Field,,35,1.0,2.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0
472,Gliscor,Ground,Flying,Wings,2.0,42.5,10.6,75,95,125,45,75,95,510,85.0,24.49,30,4,70,179,Medium Slow,1059860,False,Gligar,True,False,True,False,False,False,False,False,False,False,0.5,Fang Scorpion ,Bug,,20,1.0,1.0,2.0,0.0,1.0,4.0,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
473,Mamoswine,Ice,Ground,Quadruped,2.5,291.0,46.6,110,130,80,70,60,80,530,88.33,24.09,50,4,70,239,Slow,1250000,False,Piloswine,True,False,True,False,False,False,False,False,False,False,0.5,Twin Tusk ,Field,,20,1.0,2.0,2.0,0.0,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
474,Porygon Z,Normal,,Arms,0.9,34.0,42.0,85,80,70,135,75,90,535,89.17,21.49,30,4,70,241,Medium Fast,1000000,False,Porygon2,True,False,True,False,False,False,False,False,False,True,0.0,Virtual ,Mineral,,20,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
475,Gallade,Psychic,Fighting,Humanoid,1.6,52.0,20.3,68,125,65,65,115,80,518,86.33,24.51,45,4,35,233,Slow,1250000,False,Kirlia,True,False,True,False,False,False,True,False,False,False,0.0,Blade ,Human-Like,Amorphous,20,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,2.0
475,Mega Gallade,Psychic,Fighting,Humanoid,1.6,56.4,22.0,68,165,95,65,115,110,618,103.0,33.59,45,6,35,278,Slow,1250000,False,Kirlia,True,True,False,False,False,False,True,False,False,False,0.0,Blade ,Human-Like,Amorphous,20,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,2.0
476,Probopass,Rock,Steel,Heads,1.4,340.0,173.5,60,55,145,75,150,40,525,87.5,43.66,60,4,70,184,Medium Fast,1000000,False,Nosepass,True,False,True,False,False,False,False,False,False,False,0.5,Compass ,Mineral,,20,0.25,1.0,2.0,1.0,1.0,0.5,4.0,0.0,4.0,0.25,0.5,0.5,0.5,1.0,0.5,1.0,1.0,0.5
477,Dusknoir,Ghost,,Arms,2.2,106.6,22.0,45,100,135,65,135,45,525,87.5,38.27,45,4,35,236,Fast,800000,False,Dusclops,True,False,True,False,False,False,False,False,False,False,0.5,Gripper ,Amorphous,,25,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0,1.0,2.0,1.0,1.0
478,Froslass,Ice,Ghost,Arms,1.3,26.6,15.7,70,80,70,80,70,110,480,80.0,14.14,75,4,70,168,Medium Fast,1000000,False,Snorunt,True,False,True,False,False,False,False,False,False,False,1.0,Snow Land ,Fairy,Mineral,20,0.0,2.0,1.0,1.0,1.0,0.5,0.0,0.5,1.0,1.0,1.0,0.5,2.0,2.0,1.0,2.0,2.0,1.0
479,Rotom,Electric,Ghost,Ball,0.3,0.3,3.3,50,50,77,95,77,91,440,73.33,17.78,45,4,70,154,Medium Fast,1000000,False,,True,False,True,False,False,False,True,False,False,True,0.0,Plasma ,Amorphous,,20,0.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,0.5,1.0,0.5,1.0,2.0,1.0,2.0,0.5,1.0
479,Rotom Fan,Electric,Flying,Ball,0.3,0.3,3.3,50,65,107,105,107,86,520,86.67,22.28,45,4,70,182,Medium Fast,1000000,False,,True,False,False,False,False,False,True,False,False,True,0.0,Plasma ,Amorphous,,20,1.0,1.0,1.0,1.0,0.5,2.0,0.5,1.0,0.0,0.5,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0
479,Rotom Frost,Electric,Ice,Ball,0.3,0.3,3.3,50,65,107,105,107,86,520,86.67,22.28,45,4,70,182,Medium Fast,1000000,False,,True,False,False,False,False,False,True,False,False,True,0.0,Plasma ,Amorphous,,20,1.0,2.0,1.0,0.5,1.0,0.5,2.0,1.0,2.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
479,Rotom Heat,Electric,Fire,Ball,0.3,0.3,3.3,50,65,107,105,107,86,520,86.67,22.28,45,4,70,182,Medium Fast,1000000,False,,True,False,False,False,False,False,True,False,False,True,0.0,Plasma ,Amorphous,,20,1.0,0.5,2.0,0.5,0.5,0.5,1.0,1.0,4.0,0.5,1.0,0.5,2.0,1.0,1.0,1.0,0.25,0.5
479,Rotom Mow,Electric,Grass,Ball,0.3,0.3,3.3,50,65,107,105,107,86,520,86.67,22.28,45,4,70,182,Medium Fast,1000000,False,,True,False,False,False,False,False,True,False,False,True,0.0,Plasma ,Amorphous,,20,1.0,2.0,0.5,0.25,0.5,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0
479,Rotom Wash,Electric,Water,Ball,0.3,0.3,3.3,50,65,107,105,107,86,520,86.67,22.28,45,4,70,182,Medium Fast,1000000,False,,True,False,False,False,False,False,True,False,False,True,0.0,Plasma ,Amorphous,,20,1.0,0.5,0.5,1.0,2.0,0.5,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0
480,Uxie,Psychic,,Upright,0.3,0.3,3.3,75,75,130,75,130,95,580,96.67,24.61,3,4,140,261,Slow,1250000,False,,True,False,True,False,False,False,False,True,False,True,0.0,Knowledge ,Undiscovered,,80,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
481,Mesprit,Psychic,,Upright,0.3,0.3,3.3,80,105,105,105,105,80,580,96.67,11.79,3,4,140,261,Slow,1250000,False,,True,False,True,False,False,False,False,True,False,True,0.0,Emotion ,Undiscovered,,80,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
482,Azelf,Psychic,,Upright,0.3,0.3,3.3,75,125,70,125,70,115,580,96.67,25.28,3,4,140,261,Slow,1250000,False,,True,False,True,False,False,False,False,True,False,True,0.0,Willpower ,Undiscovered,,80,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
483,Dialga,Steel,Dragon,Quadruped,5.4,683.0,23.4,100,120,120,150,100,90,680,113.33,19.72,3,4,0,306,Slow,1250000,False,,True,False,True,False,False,False,False,True,False,True,0.0,Temporal ,Undiscovered,,120,0.5,1.0,0.5,0.5,0.25,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.5,1.0
484,Palkia,Water,Dragon,Upright,4.2,336.0,19.0,90,120,100,150,120,100,680,113.33,19.72,3,4,0,306,Slow,1250000,False,,True,False,True,False,False,False,False,True,False,True,0.0,Spatial ,Undiscovered,,120,1.0,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,2.0
485,Heatran,Fire,Steel,Quadruped,1.7,430.0,148.8,91,90,106,130,106,77,600,100.0,16.74,3,4,100,270,Slow,1250000,False,,True,False,True,False,False,False,False,True,False,False,0.5,Lava Dome ,Undiscovered,,10,0.5,1.0,2.0,1.0,0.25,0.25,2.0,0.0,4.0,0.5,0.5,0.25,1.0,1.0,0.5,1.0,0.25,0.25
486,Regigigas,Normal,,Humanoid,3.7,420.0,30.7,110,160,110,80,110,100,670,111.67,24.09,3,4,0,302,Slow,1250000,False,,True,False,True,False,False,False,False,True,False,True,0.0,Colossal ,Undiscovered,,120,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
487,Giratina Altered,Ghost,Dragon,Tentacles,4.5,750.0,37.0,150,100,120,100,120,90,680,113.33,19.72,3,4,0,306,Slow,1250000,False,,True,False,True,False,False,False,True,True,False,True,0.0,Renegade ,Undiscovered,,120,0.0,0.5,0.5,0.5,0.5,2.0,0.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0,2.0,2.0,1.0,2.0
487,Giratina Origin,Dragon,Ghost,Tentacles,6.9,650.0,13.7,150,120,100,120,100,90,680,113.33,19.72,3,4,0,306,Slow,1250000,False,,True,False,False,False,False,False,True,True,False,True,0.0,Renegade ,Undiscovered,,120,0.0,0.5,0.5,0.5,0.5,2.0,0.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0,2.0,2.0,1.0,2.0
488,Cresselia,Psychic,,Squiggle,1.5,85.6,38.0,120,70,120,75,130,85,600,100.0,23.98,3,4,100,270,Slow,1250000,False,,True,False,True,False,False,False,False,True,False,False,1.0,Lunar ,Undiscovered,,120,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
489,Phione,Water,,Arms,0.4,3.1,19.4,80,80,80,80,80,80,480,80.0,0.0,30,4,70,216,Slow,1250000,False,,True,False,True,False,False,False,False,False,True,True,0.0,Sea Drifter ,Water 1,Fairy,40,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
490,Manaphy,Water,,Humanoid,0.3,1.4,15.6,100,100,100,100,100,100,600,100.0,0.0,3,4,70,270,Slow,1250000,False,,True,False,True,False,False,False,False,False,True,True,0.0,Seafaring ,Water 1,Fairy,10,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
491,Darkrai,Dark,,Humanoid,1.5,50.5,22.4,70,90,90,135,90,125,600,100.0,22.55,3,4,0,270,Slow,1250000,False,,True,False,True,False,False,False,False,False,True,True,0.0,Pitch-Black ,Undiscovered,,120,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
492,Shaymin Land,Grass,,Quadruped,0.2,2.1,52.5,100,100,100,100,100,100,600,100.0,0.0,45,4,100,270,Medium Slow,1059860,False,,True,False,True,False,False,False,True,False,True,True,0.0,Gratitude ,Undiscovered,,120,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
492,Shaymin Sky,Grass,Flying,Quadruped,0.4,5.2,32.5,100,103,75,120,75,127,600,100.0,19.95,45,4,100,270,Medium Slow,1059860,False,,True,False,False,False,False,False,True,False,True,True,0.0,Gratitude ,Undiscovered,,120,1.0,2.0,0.5,1.0,0.25,4.0,0.5,2.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
493,Arceus,Normal,,Quadruped,3.2,320.0,31.3,120,120,120,120,120,120,720,120.0,0.0,3,4,0,324,Slow,1250000,False,,True,False,True,False,False,False,True,False,True,True,0.0,Alpha ,Undiscovered,,120,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
494,Victini,Psychic,Fire,Humanoid,0.4,4.0,25.0,100,100,100,100,100,100,600,100.0,0.0,3,5,100,270,Slow,1250000,False,,True,False,True,False,False,False,False,False,True,True,0.0,Victory ,Undiscovered,,120,1.0,0.5,2.0,1.0,0.5,0.5,0.5,1.0,2.0,1.0,0.5,1.0,2.0,2.0,1.0,2.0,0.5,0.5
495,Snivy,Grass,,Upright,0.6,8.1,22.5,45,45,55,45,55,63,308,51.33,6.87,45,5,70,62,Medium Slow,1059860,True,,False,False,True,False,False,False,False,False,False,False,0.125,Grass Snake ,Field,Grass,20,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
496,Servine,Grass,,Upright,0.8,16.0,25.0,60,60,75,60,75,83,413,68.83,9.23,45,5,70,145,Medium Slow,1059860,True,Snivy,False,False,True,False,False,False,False,False,False,False,0.125,Grass Snake ,Field,Grass,20,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
497,Serperior,Grass,,Squiggle,3.3,63.0,5.8,75,75,95,75,95,113,528,88.0,14.32,45,5,70,238,Medium Slow,1059860,False,Servine,True,False,True,False,False,False,False,False,False,False,0.125,Regal ,Field,Grass,20,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
498,Tepig,Fire,,Quadruped,0.5,9.9,39.6,65,63,45,45,45,45,308,51.33,8.98,45,5,70,62,Medium Slow,1059860,True,,False,False,True,False,False,False,False,False,False,False,0.125,Fire Pig ,Field,,20,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
499,Pignite,Fire,Fighting,Upright,1.0,55.5,55.5,90,93,55,70,55,55,418,69.67,16.35,45,5,70,146,Medium Slow,1059860,True,Tepig,False,False,True,False,False,False,False,False,False,False,0.125,Fire Pig ,Field,,20,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,2.0,2.0,0.25,1.0,1.0,1.0,0.5,0.5,1.0
500,Emboar,Fire,Fighting,Upright,1.6,150.0,58.6,110,123,65,100,65,65,528,88.0,23.94,45,5,70,238,Medium Slow,1059860,False,Pignite,True,False,True,False,False,False,False,False,False,False,0.125,Mega Fire Pig ,Field,,20,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,2.0,2.0,0.25,1.0,1.0,1.0,0.5,0.5,1.0
501,Oshawott,Water,,Upright,0.5,5.9,23.6,55,55,45,63,45,45,308,51.33,6.87,45,5,70,62,Medium Slow,1059860,True,,False,False,True,False,False,False,False,False,False,False,0.125,Sea Otter ,Field,,20,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
502,Dewott,Water,,Upright,0.8,24.5,38.3,75,75,60,83,60,60,413,68.83,9.23,45,5,70,145,Medium Slow,1059860,True,Oshawott,False,False,True,False,False,False,False,False,False,False,0.125,Discipline ,Field,,20,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
503,Samurott,Water,,Quadruped,1.5,94.6,42.0,95,100,85,108,70,70,528,88.0,14.43,45,5,70,238,Medium Slow,1059860,False,Dewott,True,False,True,False,False,False,False,False,False,False,0.125,Formidable ,Field,,20,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
504,Patrat,Normal,,Quadruped,0.5,11.6,46.4,45,55,39,35,39,42,255,42.5,6.37,255,5,70,51,Medium Fast,1000000,True,,False,False,True,False,False,False,False,False,False,False,0.5,Scout ,Field,,15,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
505,Watchog,Normal,,Upright,1.1,27.0,22.3,60,85,69,60,69,77,420,70.0,8.91,255,5,70,147,Medium Fast,1000000,False,Patrat,True,False,True,False,False,False,False,False,False,False,0.5,Lookout ,Field,,20,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
506,Lillipup,Normal,,Quadruped,0.4,4.1,25.6,45,60,45,25,45,55,275,45.83,10.96,255,5,70,55,Medium Slow,1059860,True,,False,False,True,False,False,False,False,False,False,False,0.5,Puppy ,Field,,15,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
507,Herdier,Normal,,Quadruped,0.9,14.7,18.1,65,80,65,35,65,60,370,61.67,13.44,120,5,70,130,Medium Slow,1059860,True,Lillipup,False,False,True,False,False,False,False,False,False,False,0.5,Loyal Dog ,Field,,15,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
508,Stoutland,Normal,,Quadruped,1.2,61.0,42.4,85,110,90,45,90,80,500,83.33,19.51,45,5,70,225,Medium Slow,1059860,False,Herdier,True,False,True,False,False,False,False,False,False,False,0.5,Big-Hearted ,Field,,15,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
509,Purrloin,Dark,,Quadruped,0.4,10.1,63.1,41,50,37,50,37,66,281,46.83,10.12,255,5,70,56,Medium Fast,1000000,True,,False,False,True,False,False,False,False,False,False,False,0.5,Devious ,Field,,20,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
510,Liepard,Dark,,Quadruped,1.1,37.5,31.0,64,88,50,88,50,106,446,74.33,21.08,90,5,70,156,Medium Fast,1000000,False,Purrloin,True,False,True,False,False,False,False,False,False,False,0.5,Cruel ,Field,,20,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
511,Pansage,Grass,,Upright,0.6,10.5,29.2,50,53,48,53,48,64,316,52.67,5.47,190,5,70,63,Medium Fast,1000000,True,,False,False,True,False,False,False,False,False,False,False,0.125,Grass Monkey ,Field,,20,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
512,Simisage,Grass,,Upright,1.1,30.5,25.2,75,98,63,98,63,101,498,83.0,16.52,75,5,70,174,Medium Fast,1000000,False,Pansage,True,False,True,False,False,False,False,False,False,False,0.125,Thorn Monkey ,Field,,20,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
513,Pansear,Fire,,Upright,0.6,11.0,30.6,50,53,48,53,48,64,316,52.67,5.47,190,5,70,63,Medium Fast,1000000,True,,False,False,True,False,False,False,False,False,False,False,0.125,High Temp ,Field,,20,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
514,Simisear,Fire,,Upright,1.0,28.0,28.0,75,98,63,98,63,101,498,83.0,16.52,75,5,70,174,Medium Fast,1000000,False,Pansear,True,False,True,False,False,False,False,False,False,False,0.125,Ember ,Field,,20,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
515,Panpour,Water,,Upright,0.6,13.5,37.5,50,53,48,53,48,64,316,52.67,5.47,190,5,70,63,Medium Fast,1000000,True,,False,False,True,False,False,False,False,False,False,False,0.125,Spray ,Field,,20,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
516,Simipour,Water,,Upright,1.0,29.0,29.0,75,98,63,98,63,101,498,83.0,16.52,75,5,70,174,Medium Fast,1000000,False,Panpour,True,False,True,False,False,False,False,False,False,False,0.125,Geyser ,Field,,20,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
517,Munna,Psychic,,Quadruped,0.6,23.3,64.7,76,25,45,67,55,24,292,48.67,19.6,190,5,70,58,Fast,800000,True,,False,False,True,False,False,False,False,False,False,False,0.5,Dream Eater ,Field,,10,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
518,Musharna,Psychic,,Humanoid,1.1,60.5,50.0,116,55,85,107,95,29,487,81.17,30.26,75,5,70,170,Fast,800000,False,Munna,True,False,True,False,False,False,False,False,False,False,0.5,Drowsing ,Field,,10,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
